    40/299     5.92G   0.02623   0.01301   0.00389   0.04312        22       640    0.9208    0.9257    0.9456    0.6278   0.02322  0.007506   0.00492
    41/299     5.92G   0.02653   0.01322   0.00374   0.04349        15       640     0.932    0.9158    0.9433    0.6308   0.02275  0.007409   0.00488
    42/299     5.92G   0.02662   0.01329  0.004036   0.04394        25       640    0.9356    0.9112    0.9431    0.6318    0.0227  0.007474  0.004671
    43/299     5.92G   0.02628    0.0129  0.004018   0.04319        17       640    0.9356    0.9078    0.9412    0.6336   0.02271  0.007479  0.004753
    44/299     5.92G   0.02624   0.01288  0.003914   0.04303        27       640    0.9377    0.9079    0.9442     0.632   0.02284  0.007529   0.00454
    45/299     5.92G   0.02595   0.01295  0.003954   0.04285        37       640    0.9287    0.9158    0.9442     0.633   0.02272  0.007338  0.004836
    46/299     5.92G   0.02577   0.01289  0.003763   0.04242        18       640    0.9223    0.9246    0.9448    0.6381   0.02264    0.0074  0.004654
    47/299     5.92G   0.02586   0.01277  0.003484   0.04211        20       640    0.9344    0.9177    0.9457    0.6374   0.02248  0.007293  0.004883
    48/299     5.92G   0.02569   0.01277  0.003851   0.04231        22       640    0.9359    0.9242    0.9458     0.637   0.02237  0.007366  0.004458
    49/299     5.92G   0.02549   0.01268  0.003589   0.04175        25       640    0.9308    0.9254    0.9437    0.6358   0.02244  0.007407  0.004788
    50/299     5.92G   0.02546   0.01294   0.00372   0.04212        37       640     0.933    0.9232    0.9468    0.6447   0.02218  0.007327  0.004687
    51/299     5.92G   0.02545   0.01273  0.003311   0.04148        19       640    0.9316    0.9197    0.9473    0.6427   0.02227  0.007378   0.00511
    52/299     5.92G   0.02528   0.01267  0.003437   0.04138        32       640    0.9319    0.9261    0.9468    0.6405   0.02221  0.007303  0.004767
    53/299     5.92G   0.02524   0.01291  0.003338   0.04149        15       640    0.9382    0.9082    0.9436     0.639   0.02211  0.007494  0.005047
    54/299     5.92G   0.02528   0.01265  0.003839   0.04177        32       640    0.9301     0.922    0.9463    0.6376   0.02238  0.007392  0.004908
    55/299     5.92G   0.02517   0.01259  0.003426   0.04118        57       640     0.942    0.9249    0.9483    0.6442   0.02215  0.007377  0.004354
    56/299     5.92G   0.02506   0.01268  0.003365   0.04111        30       640    0.9313    0.9295     0.951    0.6417   0.02224  0.007248  0.004525
    57/299     5.92G   0.02498   0.01265    0.0032   0.04084        28       640    0.9394    0.9215    0.9486    0.6457   0.02192  0.007296    0.0047
